,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt
37,1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.19399999999999998,59
38,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,74
39,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,76
40,1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.19399999999999998,65
41,1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,53
42,1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,30
43,1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,22
44,1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,31
45,1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,9
46,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,8
47,1,0,1,0,0,1,1,1,0.22,0.19699999999999998,0.44,0.3582,5
48,1,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,2
49,1,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,1
50,1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,3
51,1,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,30
52,1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.19399999999999998,64
53,1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,154
54,1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,88
55,1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,44
56,1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,51
57,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,61
58,1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,61
59,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,77
60,1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,72
61,1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,76
62,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,157
63,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,157
64,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0.0,110
65,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,52
66,1,0,1,21,0,1,1,1,0.18,0.19699999999999998,0.64,0.1343,52
67,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,20
68,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,12
69,1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,5
70,1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,2
71,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,1
72,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,2
73,1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,4
74,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,36
75,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,94
76,1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,179
77,1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,100
78,1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,42
79,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,57
80,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,78
81,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.19399999999999998,97
82,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,63
83,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,65
84,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,83
85,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,212
86,1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.19399999999999998,182
87,1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,112
88,1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,54
89,1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0.0,48
90,1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,35
91,1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,11
92,1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0.0,6
93,1,0,1,1,0,3,1,1,0.16,0.19699999999999998,0.74,0.0896,6
94,1,0,1,2,0,3,1,1,0.16,0.19699999999999998,0.74,0.0896,2
95,1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,2
96,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,3
97,1,0,1,6,0,3,1,1,0.2,0.19699999999999998,0.47,0.2239,33
98,1,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.19399999999999998,88
99,1,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,195
100,1,0,1,9,0,3,1,1,0.22,0.19699999999999998,0.37,0.3284,115
101,1,0,1,10,0,3,1,1,0.22,0.19699999999999998,0.37,0.3284,57
102,1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,46
103,1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,79
104,1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,71
105,1,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.19399999999999998,62
106,1,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.19399999999999998,62
107,1,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,89
108,1,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.19399999999999998,190
109,1,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,169
110,1,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,132
111,1,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,89
112,1,0,1,21,0,3,1,1,0.2,0.19699999999999998,0.51,0.19399999999999998,43
113,1,0,1,22,0,3,1,1,0.18,0.19699999999999998,0.55,0.1343,42
114,1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0.0,19
115,1,0,1,0,0,4,1,1,0.18,0.2424,0.55,0.0,11
116,1,0,1,1,0,4,1,1,0.16,0.2273,0.64,0.0,4
117,1,0,1,2,0,4,1,1,0.16,0.2273,0.64,0.0,2
118,1,0,1,4,0,4,1,2,0.16,0.19699999999999998,0.64,0.0896,1
119,1,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,4
120,1,0,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,36
121,1,0,1,7,0,4,1,2,0.16,0.2273,0.59,0.0,95
122,1,0,1,8,0,4,1,1,0.16,0.2273,0.59,0.0,219
123,1,0,1,9,0,4,1,2,0.18,0.2424,0.51,0.0,122
124,1,0,1,10,0,4,1,1,0.2,0.2576,0.47,0.0,45
125,1,0,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,59
126,1,0,1,12,0,4,1,1,0.26,0.2879,0.35,0.0,84
127,1,0,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,67
128,1,0,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,70
129,1,0,1,15,0,4,1,1,0.28,0.2727,0.36,0.0,62
130,1,0,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,86
131,1,0,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,172
132,1,0,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,163
133,1,0,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,112
134,1,0,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,69
135,1,0,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,48
136,1,0,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,52
137,1,0,1,23,0,4,1,2,0.2,0.19699999999999998,0.59,0.19399999999999998,23
138,1,0,1,0,0,5,1,2,0.2,0.19699999999999998,0.64,0.19399999999999998,17
139,1,0,1,1,0,5,1,2,0.2,0.19699999999999998,0.69,0.2239,7
140,1,0,1,2,0,5,1,2,0.2,0.19699999999999998,0.69,0.2239,1
141,1,0,1,4,0,5,1,2,0.2,0.2121,0.69,0.1343,1
142,1,0,1,5,0,5,1,3,0.22,0.2727,0.55,0.0,5
143,1,0,1,6,0,5,1,2,0.2,0.2576,0.69,0.0,34
144,1,0,1,7,0,5,1,1,0.2,0.2121,0.69,0.1343,84
145,1,0,1,8,0,5,1,1,0.2,0.19699999999999998,0.51,0.2537,210
146,1,0,1,9,0,5,1,1,0.2,0.1818,0.47,0.2985,134
147,1,0,1,10,0,5,1,1,0.22,0.19699999999999998,0.37,0.3284,63
148,1,0,1,11,0,5,1,2,0.2,0.19699999999999998,0.4,0.2239,67
149,1,0,1,12,0,5,1,2,0.2,0.19699999999999998,0.37,0.2537,59
150,1,0,1,13,0,5,1,2,0.2,0.1818,0.37,0.2836,73
151,1,0,1,14,0,5,1,2,0.2,0.19699999999999998,0.4,0.2537,50
152,1,0,1,15,0,5,1,2,0.2,0.2121,0.37,0.1642,72
153,1,0,1,16,0,5,1,2,0.2,0.2121,0.37,0.1642,87
154,1,0,1,17,0,5,1,2,0.2,0.2576,0.37,0.0,187
155,1,0,1,18,0,5,1,1,0.2,0.2273,0.4,0.0896,123
156,1,0,1,19,0,5,1,1,0.16,0.19699999999999998,0.55,0.0896,95
157,1,0,1,20,0,5,1,1,0.18,0.2121,0.47,0.1045,51
158,1,0,1,21,0,5,1,1,0.18,0.19699999999999998,0.47,0.1343,39
159,1,0,1,22,0,5,1,2,0.18,0.19699999999999998,0.43,0.1642,36
160,1,0,1,23,0,5,1,2,0.18,0.19699999999999998,0.51,0.1642,15
161,1,0,1,0,0,6,0,2,0.18,0.19699999999999998,0.51,0.1642,25
162,1,0,1,1,0,6,0,2,0.18,0.2121,0.55,0.0896,16
163,1,0,1,2,0,6,0,2,0.18,0.2424,0.55,0.0,16
164,1,0,1,3,0,6,0,3,0.18,0.19699999999999998,0.55,0.1642,7
165,1,0,1,4,0,6,0,3,0.18,0.19699999999999998,0.55,0.1642,1
166,1,0,1,5,0,6,0,2,0.16,0.1667,0.74,0.1642,5
167,1,0,1,6,0,6,0,2,0.16,0.1667,0.74,0.1642,2
168,1,0,1,7,0,6,0,2,0.16,0.1818,0.74,0.1045,9
169,1,0,1,8,0,6,0,3,0.16,0.1818,0.93,0.1045,15
170,1,0,1,9,0,6,0,3,0.16,0.1818,0.93,0.1045,20
171,1,0,1,10,0,6,0,2,0.18,0.19699999999999998,0.8,0.1642,61
172,1,0,1,11,0,6,0,2,0.2,0.1818,0.69,0.3881,62
173,1,0,1,12,0,6,0,2,0.2,0.1818,0.59,0.3582,98
174,1,0,1,13,0,6,0,1,0.2,0.1818,0.44,0.3284,102
175,1,0,1,14,0,6,0,1,0.2,0.1667,0.32,0.4925,95
176,1,0,1,15,0,6,0,1,0.2,0.1667,0.32,0.4478,74
177,1,0,1,16,0,6,0,1,0.18,0.1364,0.29,0.4478,76
178,1,0,1,17,0,6,0,1,0.16,0.1212,0.37,0.5522,69
179,1,0,1,18,0,6,0,1,0.14,0.1212,0.39,0.2985,55
180,1,0,1,19,0,6,0,1,0.14,0.1212,0.36,0.2537,30
181,1,0,1,20,0,6,0,1,0.12,0.1212,0.36,0.2537,28
182,1,0,1,21,0,6,0,1,0.12,0.1061,0.39,0.3582,37
183,1,0,1,22,0,6,0,1,0.12,0.1061,0.36,0.3881,34
184,1,0,1,23,0,6,0,1,0.1,0.0606,0.39,0.4478,22
185,1,0,1,0,0,0,0,1,0.1,0.0758,0.42,0.3881,25
186,1,0,1,1,0,0,0,1,0.1,0.0606,0.42,0.4627,12
187,1,0,1,2,0,0,0,1,0.1,0.0606,0.46,0.4627,11
188,1,0,1,3,0,0,0,1,0.1,0.0758,0.46,0.4179,4
189,1,0,1,4,0,0,0,1,0.08,0.0909,0.53,0.19399999999999998,1
190,1,0,1,5,0,0,0,1,0.08,0.0909,0.53,0.19399999999999998,1
191,1,0,1,6,0,0,0,1,0.1,0.0909,0.49,0.2836,1
192,1,0,1,7,0,0,0,1,0.08,0.0909,0.53,0.19399999999999998,6
193,1,0,1,8,0,0,0,1,0.1,0.0909,0.49,0.2836,10
194,1,0,1,9,0,0,0,1,0.12,0.0758,0.46,0.5224,19
195,1,0,1,10,0,0,0,1,0.14,0.1061,0.43,0.3881,49
196,1,0,1,11,0,0,0,1,0.16,0.1212,0.4,0.5224,49
197,1,0,1,12,0,0,0,1,0.18,0.1364,0.37,0.4478,83
198,1,0,1,13,0,0,0,1,0.2,0.1667,0.34,0.4478,75
199,1,0,1,14,0,0,0,1,0.22,0.1818,0.32,0.4627,72
200,1,0,1,15,0,0,0,1,0.22,0.19699999999999998,0.35,0.3582,82
201,1,0,1,16,0,0,0,1,0.2,0.1667,0.34,0.4478,92
202,1,0,1,17,0,0,0,1,0.18,0.1515,0.37,0.3881,62
203,1,0,1,18,0,0,0,1,0.16,0.1364,0.4,0.3284,48
204,1,0,1,19,0,0,0,1,0.16,0.1364,0.43,0.3284,41
205,1,0,1,20,0,0,0,1,0.14,0.1212,0.46,0.2537,38
206,1,0,1,21,0,0,0,1,0.14,0.1061,0.46,0.4179,20
207,1,0,1,22,0,0,0,1,0.14,0.1212,0.46,0.2985,15
208,1,0,1,23,0,0,0,1,0.12,0.1364,0.5,0.19399999999999998,6
209,1,0,1,0,0,1,1,1,0.12,0.1212,0.5,0.2836,5
210,1,0,1,1,0,1,1,1,0.12,0.1212,0.5,0.2836,1
211,1,0,1,2,0,1,1,1,0.12,0.1212,0.5,0.2239,3
212,1,0,1,3,0,1,1,1,0.12,0.1212,0.5,0.2239,1
213,1,0,1,4,0,1,1,1,0.1,0.1212,0.54,0.1343,3
214,1,0,1,5,0,1,1,1,0.1,0.1061,0.54,0.2537,3
215,1,0,1,6,0,1,1,1,0.12,0.1212,0.5,0.2836,31
216,1,0,1,7,0,1,1,1,0.12,0.1212,0.5,0.2239,77
217,1,0,1,8,0,1,1,2,0.12,0.1212,0.5,0.2836,188
218,1,0,1,9,0,1,1,2,0.14,0.1212,0.5,0.2537,94
219,1,0,1,10,0,1,1,2,0.14,0.1212,0.5,0.2985,31
220,1,0,1,11,0,1,1,2,0.16,0.1364,0.47,0.2836,30
221,1,0,1,12,0,1,1,2,0.2,0.1818,0.4,0.2836,52
222,1,0,1,13,0,1,1,2,0.2,0.1818,0.4,0.2836,54
223,1,0,1,14,0,1,1,2,0.2,0.19699999999999998,0.4,0.2239,47
224,1,0,1,15,0,1,1,2,0.2,0.19699999999999998,0.4,0.2239,45
225,1,0,1,16,0,1,1,1,0.2,0.2121,0.4,0.1343,74
226,1,0,1,17,0,1,1,1,0.2,0.2273,0.4,0.1045,178
227,1,0,1,18,0,1,1,1,0.2,0.19699999999999998,0.4,0.2239,155
228,1,0,1,19,0,1,1,1,0.16,0.1667,0.47,0.1642,95
229,1,0,1,20,0,1,1,1,0.16,0.1667,0.5,0.1642,74
230,1,0,1,21,0,1,1,1,0.14,0.1364,0.59,0.19399999999999998,38
231,1,0,1,22,0,1,1,1,0.14,0.1515,0.59,0.1642,24
232,1,0,1,23,0,1,1,1,0.14,0.1515,0.59,0.1642,18
233,1,0,1,0,0,2,1,1,0.14,0.1667,0.59,0.1045,12
234,1,0,1,1,0,2,1,1,0.14,0.1515,0.59,0.1642,3
235,1,0,1,2,0,2,1,2,0.16,0.1515,0.55,0.19399999999999998,3
236,1,0,1,5,0,2,1,2,0.16,0.1818,0.55,0.1343,6
237,1,0,1,6,0,2,1,2,0.16,0.1818,0.55,0.1343,27
238,1,0,1,7,0,2,1,2,0.16,0.2273,0.55,0.0,99
239,1,0,1,8,0,2,1,2,0.18,0.2121,0.51,0.0896,217
240,1,0,1,9,0,2,1,2,0.18,0.19699999999999998,0.51,0.1642,130
241,1,0,1,10,0,2,1,2,0.2,0.2121,0.51,0.1642,54
242,1,0,1,11,0,2,1,2,0.2,0.2121,0.47,0.1343,35
243,1,0,1,12,0,2,1,2,0.2,0.2273,0.51,0.1045,57
244,1,0,1,13,0,2,1,2,0.2,0.2273,0.59,0.0896,52
245,1,0,1,14,0,2,1,2,0.2,0.2273,0.59,0.0896,63
246,1,0,1,15,0,2,1,2,0.16,0.19699999999999998,0.8,0.0896,47
247,1,0,1,16,0,2,1,2,0.16,0.1515,0.86,0.2239,76
248,1,0,1,17,0,2,1,2,0.16,0.1515,0.86,0.2239,136
249,1,0,1,18,0,2,1,3,0.16,0.1818,0.93,0.1045,95
250,1,0,1,19,0,2,1,3,0.16,0.2273,0.93,0.0,51
251,1,0,1,20,0,2,1,3,0.16,0.1515,0.93,0.19399999999999998,32
252,1,0,1,21,0,2,1,3,0.16,0.19699999999999998,0.86,0.0896,20
253,1,0,1,22,0,2,1,3,0.16,0.1818,0.93,0.1045,29
254,1,0,1,23,0,2,1,3,0.16,0.19699999999999998,0.93,0.0896,19
255,1,0,1,0,0,3,1,2,0.16,0.19699999999999998,0.86,0.0896,7
256,1,0,1,1,0,3,1,2,0.16,0.1818,0.86,0.1045,6
257,1,0,1,2,0,3,1,1,0.14,0.1515,0.86,0.1343,1
258,1,0,1,5,0,3,1,1,0.14,0.1515,0.86,0.1642,5
259,1,0,1,6,0,3,1,1,0.12,0.1515,0.93,0.1343,16
260,1,0,1,7,0,3,1,1,0.14,0.1515,0.69,0.1343,54
261,1,0,1,8,0,3,1,1,0.16,0.1667,0.59,0.1642,128
262,1,0,1,9,0,3,1,1,0.16,0.1364,0.59,0.3284,81
263,1,0,1,10,0,3,1,1,0.18,0.1818,0.55,0.2239,39
264,1,0,1,11,0,3,1,1,0.2,0.1818,0.51,0.3881,35
265,1,0,1,12,0,3,1,1,0.2,0.1515,0.47,0.5821,55
266,1,0,1,13,0,3,1,1,0.22,0.19699999999999998,0.44,0.3582,49
267,1,0,1,14,0,3,1,1,0.2,0.1818,0.47,0.3284,44
268,1,0,1,15,0,3,1,1,0.2,0.1667,0.47,0.4179,49
269,1,0,1,16,0,3,1,1,0.22,0.19699999999999998,0.44,0.3284,68
270,1,0,1,17,0,3,1,1,0.2,0.1818,0.47,0.3582,139
271,1,0,1,18,0,3,1,1,0.2,0.1515,0.47,0.5224,137
272,1,0,1,19,0,3,1,1,0.18,0.1515,0.47,0.4179,83
273,1,0,1,20,0,3,1,1,0.16,0.1364,0.5,0.3284,56
274,1,0,1,21,0,3,1,1,0.16,0.1364,0.55,0.3284,57
275,1,0,1,22,0,3,1,1,0.16,0.1212,0.55,0.4478,33
276,1,0,1,23,0,3,1,1,0.14,0.1061,0.59,0.4179,20
277,1,0,1,0,0,4,1,1,0.14,0.1212,0.59,0.2836,7
278,1,0,1,1,0,4,1,1,0.14,0.1212,0.5,0.2836,2
279,1,0,1,2,0,4,1,1,0.14,0.1212,0.5,0.3582,2
280,1,0,1,3,0,4,1,1,0.14,0.1212,0.5,0.3284,3
281,1,0,1,4,0,4,1,1,0.14,0.1212,0.5,0.2537,4
282,1,0,1,5,0,4,1,1,0.14,0.1212,0.5,0.2985,3
283,1,0,1,6,0,4,1,1,0.12,0.1515,0.54,0.1343,28
284,1,0,1,7,0,4,1,1,0.12,0.1515,0.54,0.1343,72
285,1,0,1,8,0,4,1,1,0.14,0.1364,0.5,0.19399999999999998,202
286,1,0,1,9,0,4,1,1,0.14,0.1212,0.5,0.3284,139
287,1,0,1,10,0,4,1,2,0.16,0.1364,0.5,0.3582,38
288,1,0,1,11,0,4,1,2,0.2,0.1667,0.44,0.4478,37
289,1,0,1,12,0,4,1,1,0.2,0.1667,0.44,0.4179,52
290,1,0,1,13,0,4,1,1,0.22,0.19699999999999998,0.41,0.4478,83
291,1,0,1,14,0,4,1,1,0.22,0.19699999999999998,0.41,0.3881,42
292,1,0,1,15,0,4,1,1,0.24,0.2121,0.38,0.2985,60
293,1,0,1,16,0,4,1,1,0.24,0.2121,0.38,0.3582,78
294,1,0,1,17,0,4,1,1,0.2,0.1818,0.4,0.2836,162
295,1,0,1,18,0,4,1,1,0.2,0.1818,0.4,0.3284,144
296,1,0,1,19,0,4,1,1,0.16,0.1515,0.47,0.2537,99
297,1,0,1,20,0,4,1,1,0.16,0.1515,0.47,0.2239,64
298,1,0,1,21,0,4,1,1,0.14,0.1212,0.46,0.2985,40
299,1,0,1,22,0,4,1,1,0.14,0.1212,0.46,0.3284,30
300,1,0,1,23,0,4,1,1,0.12,0.1364,0.5,0.19399999999999998,15
301,1,0,1,0,0,5,1,1,0.12,0.1364,0.5,0.19399999999999998,14
302,1,0,1,1,0,5,1,1,0.1,0.1212,0.54,0.1642,5
303,1,0,1,2,0,5,1,1,0.1,0.1212,0.54,0.1343,1
304,1,0,1,3,0,5,1,1,0.1,0.1364,0.54,0.1045,1
305,1,0,1,5,0,5,1,1,0.1,0.1364,0.54,0.0896,8
306,1,0,1,6,0,5,1,1,0.1,0.1818,0.54,0.0,17
307,1,0,1,7,0,5,1,1,0.1,0.1212,0.74,0.1642,70
308,1,0,1,8,0,5,1,1,0.12,0.1667,0.68,0.0,158
309,1,0,1,9,0,5,1,1,0.14,0.1515,0.69,0.1343,117
310,1,0,1,10,0,5,1,1,0.18,0.1818,0.55,0.19399999999999998,44
311,1,0,1,11,0,5,1,1,0.18,0.1667,0.51,0.2836,53
312,1,0,1,12,0,5,1,1,0.2,0.19699999999999998,0.44,0.2537,61
313,1,0,1,13,0,5,1,1,0.22,0.19699999999999998,0.37,0.3881,77
314,1,0,1,14,0,5,1,1,0.22,0.2121,0.41,0.2836,64
315,1,0,1,15,0,5,1,1,0.24,0.2424,0.38,0.1642,68
316,1,0,1,16,0,5,1,1,0.22,0.2424,0.41,0.1045,90
317,1,0,1,17,0,5,1,1,0.22,0.2273,0.41,0.1642,159
318,1,0,1,18,0,5,1,1,0.2,0.2576,0.47,0.0,139
319,1,0,1,19,0,5,1,1,0.16,0.19699999999999998,0.59,0.0896,92
320,1,0,1,20,0,5,1,1,0.18,0.2424,0.59,0.0,68
321,1,0,1,21,0,5,1,1,0.16,0.2273,0.69,0.0,52
322,1,0,1,22,0,5,1,2,0.16,0.2273,0.69,0.0,36
323,1,0,1,23,0,5,1,2,0.18,0.2424,0.55,0.0,27
324,1,0,1,0,0,6,0,1,0.18,0.2424,0.55,0.0,28
325,1,0,1,1,0,6,0,2,0.16,0.19699999999999998,0.59,0.0896,20
326,1,0,1,2,0,6,0,2,0.16,0.19699999999999998,0.59,0.0896,12
327,1,0,1,3,0,6,0,2,0.16,0.2273,0.59,0.0,8
328,1,0,1,4,0,6,0,2,0.16,0.2273,0.59,0.0,5
329,1,0,1,5,0,6,0,1,0.16,0.2273,0.59,0.0,1
330,1,0,1,6,0,6,0,1,0.14,0.1667,0.63,0.1045,3
331,1,0,1,7,0,6,0,1,0.14,0.2121,0.63,0.0,10
332,1,0,1,8,0,6,0,1,0.14,0.1515,0.63,0.1343,23
333,1,0,1,9,0,6,0,1,0.16,0.1818,0.64,0.1343,33
334,1,0,1,10,0,6,0,1,0.18,0.19699999999999998,0.59,0.1642,59
335,1,0,1,11,0,6,0,1,0.2,0.19699999999999998,0.55,0.2239,72
336,1,0,1,12,0,6,0,1,0.24,0.2273,0.48,0.2239,89
337,1,0,1,13,0,6,0,1,0.28,0.2576,0.38,0.2985,101
338,1,0,1,14,0,6,0,1,0.3,0.2879,0.39,0.2836,118
339,1,0,1,15,0,6,0,2,0.32,0.3182,0.36,0.19399999999999998,129
340,1,0,1,16,0,6,0,2,0.34,0.3333,0.34,0.19399999999999998,128
341,1,0,1,17,0,6,0,2,0.32,0.303,0.36,0.2836,83
342,1,0,1,18,0,6,0,2,0.3,0.2879,0.45,0.2537,84
343,1,0,1,19,0,6,0,2,0.32,0.303,0.39,0.2537,74
344,1,0,1,20,0,6,0,2,0.32,0.303,0.39,0.2537,41
345,1,0,1,21,0,6,0,2,0.32,0.303,0.39,0.2239,57
346,1,0,1,22,0,6,0,2,0.3,0.3182,0.42,0.1045,26
347,1,0,1,23,0,6,0,1,0.3,0.2879,0.45,0.2836,44
348,1,0,1,0,0,0,0,1,0.26,0.303,0.56,0.0,39
349,1,0,1,1,0,0,0,1,0.26,0.2727,0.56,0.1343,23
350,1,0,1,2,0,0,0,1,0.26,0.2879,0.56,0.0896,16
351,1,0,1,3,0,0,0,1,0.22,0.2727,0.69,0.0,15
352,1,0,1,4,0,0,0,1,0.26,0.2576,0.56,0.1642,1
353,1,0,1,5,0,0,0,2,0.26,0.2576,0.56,0.1642,2
354,1,0,1,6,0,0,0,2,0.26,0.2576,0.56,0.1642,1
355,1,0,1,7,0,0,0,2,0.24,0.2121,0.56,0.2985,3
356,1,0,1,8,0,0,0,1,0.22,0.2121,0.55,0.2836,18
357,1,0,1,9,0,0,0,1,0.22,0.2121,0.51,0.2537,32
358,1,0,1,10,0,0,0,1,0.22,0.2121,0.51,0.2836,79
